words,relation
armenian,0.0072244819398591615
second,0.0018195456878281663
sandler,0.0037259909628252893
adam,0.0018185889321695554
movies,0.007930418740691284
best,0.001820067960171257
night,0.0018195585405223274
said,0.005639448323623389
life,0.001819200660201606
like,0.0037259909628252893
